new_main_category,tag,sentiment,term,score,review_count,word_count
Bodycare,Quality,positive,easy,0.042071846,40391,50
Bodycare,Quality,positive,price,0.040598874,40391,50
Bodycare,Quality,positive,little,0.036079751,40391,50
Bodycare,Quality,positive,spf,0.035044434,40391,50
Bodycare,Quality,positive,dry,0.034945586,40391,50
Bodycare,Quality,positive,sensitive,0.03370808,40391,50
Bodycare,Quality,positive,sunscreens,0.033297511,40391,50
Bodycare,Quality,positive,effective,0.032389768,40391,50
Bodycare,Quality,positive,light,0.030915855,40391,50
Bodycare,Quality,positive,recommend,0.029331924,40391,50
Bodycare,Quality,positive,burn,0.027583861,40391,50
Bodycare,Quality,positive,long,0.026997723,40391,50
Bodycare,Quality,positive,shave,0.026733993,40391,50
Bodycare,Quality,positive,clean,0.026024789,40391,50
Bodycare,Quality,positive,easily,0.025925948,40391,50
Bodycare,Quality,positive,tried,0.024525608,40391,50
Bodycare,Quality,positive,better,0.024285206,40391,50
Bodycare,Quality,positive,most,0.024065843,40391,50
Bodycare,Quality,positive,look,0.021914353,40391,50
Bodycare,Quality,positive,kids,0.021279003,40391,50
Bodycare,Quality,positive,aftershave,0.021214647,40391,50
Bodycare,Quality,positive,pretty,0.021038567,40391,50
Bodycare,Quality,positive,ingredients,0.020854148,40391,50
Bodycare,Quality,positive,need,0.020838225,40391,50
Bodycare,Quality,positive,rub,0.02070957,40391,50
Bodycare,Quality,positive,sunblock,0.020613399,40391,50
Bodycare,Quality,positive,work,0.020418821,40391,50
Bodycare,Quality,positive,leaves,0.02039381,40391,50
Bodycare,Quality,positive,lot,0.020174611,40391,50
Bodycare,Quality,positive,found,0.019984239,40391,50
Bodycare,Quality,positive,thick,0.019738709,40391,50
Bodycare,Quality,positive,makeup,0.019668818,40391,50
Bodycare,Quality,positive,definitely,0.019576208,40391,50
Bodycare,Quality,positive,quickly,0.01825681,40391,50
Bodycare,Quality,positive,cast,0.018117608,40391,50
Bodycare,Quality,positive,hours,0.017865957,40391,50
Bodycare,Quality,positive,zinc,0.017777503,40391,50
Bodycare,Quality,positive,wear,0.017308781,40391,50
Bodycare,Quality,positive,natural,0.01714814,40391,50
Bodycare,Quality,positive,body,0.01611781,40391,50
Bodycare,Quality,positive,mineral,0.014807974,40391,50
Haircare,Packaging,negative,broken,0.070135489,8291,50
Haircare,Packaging,negative,leaked,0.067515851,8291,50
Haircare,Packaging,negative,used,0.056422929,8291,50
Haircare,Packaging,negative,received,0.050161269,8291,50
Haircare,Packaging,negative,small,0.047929631,8291,50
Haircare,Packaging,negative,leaking,0.041387004,8291,50
Haircare,Packaging,negative,pump,0.039546948,8291,50
Haircare,Packaging,negative,thick,0.037805985,8291,50
Haircare,Packaging,negative,smell,0.037645622,8291,50
Haircare,Packaging,negative,expensive,0.034678823,8291,50
Haircare,Packaging,negative,hard,0.031983479,8291,50
Haircare,Packaging,negative,little,0.028318935,8291,50
Haircare,Packaging,negative,work,0.027971624,8291,50
Haircare,Packaging,negative,down,0.027969,8291,50
Haircare,Packaging,negative,package,0.027570694,8291,50
Haircare,Packaging,negative,horrible,0.027241977,8291,50
Haircare,Packaging,negative,opened,0.026005358,8291,50
Haircare,Packaging,negative,terrible,0.02566079,8291,50
Haircare,Packaging,negative,return,0.025044078,8291,50
Haircare,Packaging,negative,packaging,0.023731016,8291,50
Haircare,Packaging,negative,different,0.023568677,8291,50
Haircare,Packaging,negative,bag,0.023085584,8291,50
Haircare,Packaging,negative,mess,0.02242848,8291,50
Haircare,Packaging,negative,plastic,0.022318646,8291,50
Haircare,Packaging,negative,inside,0.022006436,8291,50
Haircare,Packaging,negative,open,0.021920527,8291,50
Haircare,Packaging,negative,works,0.021817442,8291,50
Haircare,Packaging,negative,price,0.021747952,8291,50
Haircare,Packaging,negative,item,0.021654077,8291,50
Haircare,Packaging,negative,waste,0.021378631,8291,50
Haircare,Packaging,negative,order,0.021190174,8291,50
Haircare,Packaging,negative,purchased,0.020694802,8291,50
Haircare,Packaging,negative,empty,0.020112263,8291,50
Haircare,Packaging,negative,fake,0.020098147,8291,50
Haircare,Packaging,negative,awful,0.018996191,8291,50
Haircare,Packaging,negative,size,0.018808442,8291,50
Haircare,Packaging,negative,spilled,0.018335534,8291,50
Haircare,Packaging,negative,wrong,0.018257381,8291,50
Haircare,Packaging,negative,tried,0.018241267,8291,50
Haircare,Packaging,negative,purple,0.017958925,8291,50
Haircare,Packaging,negative,scent,0.017905081,8291,50
Haircare,Packaging,negative,squeeze,0.017807505,8291,50
Haircare,Packaging,negative,should,0.017527269,8291,50
Haircare,Packaging,negative,difficult,0.016741971,8291,50
Haircare,Packaging,negative,purchase,0.016514204,8291,50
Haircare,Packaging,negative,disappointing,0.015603395,8291,50
Haircare,Packaging,negative,nothing,0.015455839,8291,50
Haircare,Packaging,negative,everywhere,0.015430588,8291,50
Haircare,Packaging,negative,long,0.014553576,8291,50
Haircare,Packaging,negative,shipping,0.013730709,8291,50
Haircare,Packaging,positive,used,0.06666118,33710,50
Haircare,Packaging,positive,works,0.055679826,33710,50
Haircare,Packaging,positive,smell,0.051650192,33710,50
Haircare,Packaging,positive,colored,0.04120168,33710,50
Haircare,Packaging,positive,scent,0.040451035,33710,50
Haircare,Packaging,positive,leaked,0.038932743,33710,50
Haircare,Packaging,positive,better,0.038504715,33710,50
Haircare,Packaging,positive,price,0.037708642,33710,50
Haircare,Packaging,positive,treated,0.037171333,33710,50
Haircare,Packaging,positive,amazing,0.034798461,33710,50
Haircare,Packaging,positive,long,0.034334084,33710,50
Haircare,Packaging,positive,pump,0.031080707,33710,50
Haircare,Packaging,positive,blonde,0.030573916,33710,50
Haircare,Packaging,positive,little,0.029441527,33710,50
Haircare,Packaging,positive,purple,0.028920686,33710,50
Haircare,Packaging,positive,top,0.028271323,33710,50
Haircare,Packaging,positive,recommend,0.02784831,33710,50
Haircare,Packaging,positive,tried,0.026956662,33710,50
Haircare,Packaging,positive,received,0.026276428,33710,50
Haircare,Packaging,positive,plastic,0.025934647,33710,50
Haircare,Packaging,positive,need,0.025453498,33710,50
Haircare,Packaging,positive,keep,0.024986712,33710,50
Haircare,Packaging,positive,last,0.024746935,33710,50
Haircare,Packaging,positive,natural,0.024685336,33710,50
Haircare,Packaging,positive,size,0.0243554,33710,50
Haircare,Packaging,positive,work,0.024231549,33710,50
Haircare,Packaging,positive,lot,0.02283976,33710,50
Haircare,Packaging,positive,definitely,0.022779732,33710,50
Haircare,Packaging,positive,down,0.022715102,33710,50
Haircare,Packaging,positive,wash,0.022004753,33710,50
Haircare,Packaging,positive,happy,0.021616939,33710,50
Haircare,Packaging,positive,longer,0.021349324,33710,50
Haircare,Packaging,positive,different,0.020129628,33710,50
Haircare,Packaging,positive,found,0.019860958,33710,50
Haircare,Packaging,positive,packaging,0.019857788,33710,50
Haircare,Packaging,positive,salon,0.019694101,33710,50
Haircare,Packaging,positive,shower,0.019431409,33710,50
Haircare,Packaging,positive,light,0.019397944,33710,50
Haircare,Packaging,positive,small,0.019296624,33710,50
Haircare,Packaging,positive,shampoos,0.019103487,33710,50
Haircare,Packaging,positive,look,0.019014587,33710,50
