term,score,new_main_category,tag,review_count,word_count
price,0.02852705190755186,Makeup,Packaging,199392,50
last,0.027991942826369798,Makeup,Packaging,199392,50
eye,0.02793276281017105,Makeup,Packaging,199392,50
looks,0.026290210190088977,Makeup,Packaging,199392,50
wear,0.02383666901786081,Makeup,Packaging,199392,50
palette,0.023253592383627057,Makeup,Packaging,199392,50
light,0.022352435005318572,Makeup,Packaging,199392,50
dark,0.021964425182283902,Makeup,Packaging,199392,50
makeup,0.02126992965667472,Makeup,Packaging,199392,50
eyeliner,0.021065017909612523,Makeup,Packaging,199392,50
eyeshadow,0.02105106726966194,Makeup,Packaging,199392,50
pink,0.020998717912459292,Makeup,Packaging,199392,50
different,0.020953810760578725,Makeup,Packaging,199392,50
favorite,0.020951028871800583,Makeup,Packaging,199392,50
lasts,0.020756532184494268,Makeup,Packaging,199392,50
definitely,0.02051276919444948,Makeup,Packaging,199392,50
mascara,0.020071624319721103,Makeup,Packaging,199392,50
recommend,0.02001778157666805,Makeup,Packaging,199392,50
stay,0.01994468239773644,Makeup,Packaging,199392,50
matte,0.019697781029065265,Makeup,Packaging,199392,50
pigmented,0.018917023463095956,Makeup,Packaging,199392,50
shadow,0.017719458500754865,Makeup,Packaging,199392,50
amazing,0.017214708826822616,Makeup,Packaging,199392,50
lasting,0.017035433730103133,Makeup,Packaging,199392,50
easily,0.01699070598024682,Makeup,Packaging,199392,50
red,0.016710485284807255,Makeup,Packaging,199392,50
brown,0.016660361209688185,Makeup,Packaging,199392,50
shade,0.016381403827362036,Makeup,Packaging,199392,50
lashes,0.016287229412422517,Makeup,Packaging,199392,50
black,0.01626624238001016,Makeup,Packaging,199392,50
brush,0.016161171665873372,Makeup,Packaging,199392,50
work,0.01561907489219676,Makeup,Packaging,199392,50
natural,0.015584837559019791,Makeup,Packaging,199392,50
tried,0.015532846360548764,Makeup,Packaging,199392,50
better,0.015374707311005806,Makeup,Packaging,199392,50
lot,0.01495940942710911,Makeup,Packaging,199392,50
liner,0.013125900596663496,Makeup,Packaging,199392,50
damaged,0.09463892739084291,Makeup,Packing,13606,50
delivery,0.0902444091645092,Makeup,Packing,13606,50
mascara,0.07132726684105571,Makeup,Packing,13606,50
used,0.06573799300905248,Makeup,Packing,13606,50
sealed,0.0586279030755545,Makeup,Packing,13606,50
broken,0.05084355569910029,Makeup,Packing,13606,50
lashes,0.04942359260152614,Makeup,Packing,13606,50
lipstick,0.04691452114667795,Makeup,Packing,13606,50
received,0.04678300571411725,Makeup,Packing,13606,50
opened,0.04596992092245689,Makeup,Packing,13606,50
item,0.04180206665245536,Makeup,Packing,13606,50
fast,0.04094057984857694,Makeup,Packing,13606,50
eye,0.03451209276596068,Makeup,Packing,13606,50
eyeliner,0.03346224925166812,Makeup,Packing,13606,50
package,0.03341591474560217,Makeup,Packing,13606,50
packaging,0.03175771316169113,Makeup,Packing,13606,50
tube,0.02989992779272874,Makeup,Packing,13606,50
return,0.0294551767133936,Makeup,Packing,13606,50
price,0.02820687659238605,Makeup,Packing,13606,50
wrapped,0.02805828051519486,Makeup,Packing,13606,50
little,0.027278642732431323,Makeup,Packing,13606,50
look,0.026932592552231273,Makeup,Packing,13606,50
makeup,0.02660608434381655,Makeup,Packing,13606,50
easy,0.025845247684377914,Makeup,Packing,13606,50
open,0.025783007404676005,Makeup,Packing,13606,50
tried,0.025500475441596004,Makeup,Packing,13606,50
long,0.02315053363022498,Makeup,Packing,13606,50
eyeshadow,0.023132184348295986,Makeup,Packing,13606,50
plastic,0.02267329359069497,Makeup,Packing,13606,50
looks,0.022466539805442862,Makeup,Packing,13606,50
order,0.02216740597798658,Makeup,Packing,13606,50
dried,0.021892601018120874,Makeup,Packing,13606,50
tape,0.0211993320122919,Makeup,Packing,13606,50
happy,0.021197120138806716,Makeup,Packing,13606,50
brush,0.021086518771948202,Makeup,Packing,13606,50
completely,0.020794951899383095,Makeup,Packing,13606,50
recommend,0.020791088018973933,Makeup,Packing,13606,50
purchase,0.020292101791678268,Makeup,Packing,13606,50
bubble,0.020144415264173886,Makeup,Packing,13606,50
liner,0.02014337357551805,Makeup,Packing,13606,50
perfect,0.019832236610331185,Makeup,Packing,13606,50
wrap,0.019427228644888248,Makeup,Packing,13606,50
better,0.019380659240179458,Makeup,Packing,13606,50
inside,0.018901791032549336,Makeup,Packing,13606,50
shadow,0.018288174725386835,Makeup,Packing,13606,50
pretty,0.018009037797619903,Makeup,Packing,13606,50
definitely,0.01794988795741668,Makeup,Packing,13606,50
lash,0.017760431278456074,Makeup,Packing,13606,50
palette,0.016266344153912322,Makeup,Packing,13606,50
colors,0.014197687907996104,Makeup,Packing,13606,50
mascara,0.08033439090748748,Makeup,Quality,286687,50
dry,0.076711494610495,Makeup,Quality,286687,50
smooth,0.06137294434028993,Makeup,Quality,286687,50
lashes,0.05781075830999842,Makeup,Quality,286687,50
colors,0.05177647229091614,Makeup,Quality,286687,50
eyeliner,0.04892833384005436,Makeup,Quality,286687,50
lipstick,0.046591600384215774,Makeup,Quality,286687,50
easy,0.045967467674249064,Makeup,Quality,286687,50
lips,0.045788605360790706,Makeup,Quality,286687,50
price,0.04536524043863163,Makeup,Quality,286687,50
look,0.04475286373370313,Makeup,Quality,286687,50
long,0.04292635602375829,Makeup,Quality,286687,50
eye,0.04115502943318209,Makeup,Quality,286687,50
used,0.03978606002731366,Makeup,Quality,286687,50
little,0.03694904970478668,Makeup,Quality,286687,50
pretty,0.03365254271113736,Makeup,Quality,286687,50
smoothly,0.032421658253762135,Makeup,Quality,286687,50
stays,0.03237148467511903,Makeup,Quality,286687,50
looks,0.032018128177522025,Makeup,Quality,286687,50
quality,0.03155150713450861,Makeup,Quality,286687,50
makeup,0.030930650267225697,Makeup,Quality,286687,50
soft,0.030142286049903568,Makeup,Quality,286687,50
brush,0.02876159600286391,Makeup,Quality,286687,50
tried,0.02784049202264273,Makeup,Quality,286687,50
liner,0.027763476711410773,Makeup,Quality,286687,50
last,0.027178414684117167,Makeup,Quality,286687,50
recommend,0.026707486446236176,Makeup,Quality,286687,50
lip,0.026247465665207238,Makeup,Quality,286687,50
definitely,0.025133205776101303,Makeup,Quality,286687,50
works,0.0249100790765933,Makeup,Quality,286687,50
easily,0.024192684487331265,Makeup,Quality,286687,50
wear,0.024013954983893224,Makeup,Quality,286687,50
better,0.023778812279448263,Makeup,Quality,286687,50
lasts,0.02375064157485302,Makeup,Quality,286687,50
work,0.023451551941119992,Makeup,Quality,286687,50
perfect,0.022904582695867814,Makeup,Quality,286687,50
black,0.021488169759854906,Makeup,Quality,286687,50
super,0.02112023161439976,Makeup,Quality,286687,50
matte,0.020920834652612904,Makeup,Quality,286687,50
hard,0.02073219400702267,Makeup,Quality,286687,50
smudge,0.019866845367890126,Makeup,Quality,286687,50
eyelashes,0.019657371226956828,Makeup,Quality,286687,50
few,0.019171231641804457,Makeup,Quality,286687,50
need,0.01907472479293134,Makeup,Quality,286687,50
lot,0.01812149860887515,Makeup,Quality,286687,50
line,0.017829534464973228,Makeup,Quality,286687,50
want,0.01720765149669692,Makeup,Quality,286687,50
waterproof,0.016904521942820133,Makeup,Quality,286687,50
lash,0.016196301450433888,Makeup,Quality,286687,50
liquid,0.015860681598653514,Makeup,Quality,286687,50
soap,0.06045637759075944,Skincare,Packaging,159823,50
scent,0.058040950110195874,Skincare,Packaging,159823,50
smell,0.05542704361006243,Skincare,Packaging,159823,50
used,0.05534719188059253,Skincare,Packaging,159823,50
