category,tag,sentiment,topic_no,top_words
Sun Protection,Quality,positive,1,"Topic 1: sunscreen, zinc, ingredients, skin, sunscreens, oxide, safe, effective, good, like"
Sun Protection,Quality,positive,2,"Topic 2: sunscreen, face, use, product, skin, sun, like, good, one, day"
Sun Protection,Quality,positive,3,"Topic 3: product, good, excellent, love, lips, goes, years, great, amazon, using"
Sun Protection,Quality,positive,4,"Topic 4: skin, sunscreen, oily, like, face, dry, product, love, makeup, great"
Sun Protection,Quality,positive,5,"Topic 5: good, skin, like, sunscreen, sun, love, great, face, product, goes"
Sun Protection,Quality,neutral,1,"Topic 1: product, skin, face, sunscreen, like, use, used, using, time, get"
Sun Protection,Quality,neutral,2,"Topic 2: lips, lip, balm, taste, que, mouth, es, el, de, la"
Sun Protection,Quality,neutral,3,"Topic 3: product, good, pump, bottle, amazon, use, received, expensive, get, small"
Sun Protection,Quality,neutral,4,"Topic 4: skin, sunscreen, like, face, oily, dry, white, use, product, cast"
Sun Protection,Quality,neutral,5,"Topic 5: sunscreen, sun, white, skin, product, one, use, sunscreens, spf, like"
Sun Protection,Quality,negative,1,"Topic 1: skin, face, oily, white, like, dry, sunscreen, product, leaves, thick"
Sun Protection,Quality,negative,2,"Topic 2: sunscreen, white, like, bad, product, skin, one, cast, face, even"
Sun Protection,Quality,negative,3,"Topic 3: bad, product, face, skin, lips, used, got, using, sunscreen, day"
Sun Protection,Quality,negative,4,"Topic 4: bad, like, product, taste, lips, lip, balm, get, also, spf"
Sun Protection,Quality,negative,5,"Topic 5: bad, skin, product, sunscreen, like, face, smell, use, really, disappointed"
Sun Protection,Packing,positive,1,"Topic 1: protection, great, sun, product, love, sunscreen, skin, like, use, lip"
Sun Protection,Packing,positive,2,"Topic 2: protection, product, sun, sunscreen, spf, like, use, skin, face, love"
Sun Protection,Packing,positive,3,"Topic 3: skin, zinc, sunscreen, like, product, oxide, protection, best, use, also"
Sun Protection,Packing,positive,4,"Topic 4: sunscreen, skin, white, protection, product, one, cast, like, mineral, sun"
Sun Protection,Packing,positive,5,"Topic 5: protection, sun, great, skin, face, sunscreen, product, love, use, like"
Sun Protection,Packing,neutral,1,"Topic 1: protection, like, sunscreen, product, sun, skin, use, face, would, well"
Sun Protection,Packing,neutral,2,"Topic 2: protection, sun, product, skin, face, sunscreen, spf, like, also, use"
Sun Protection,Packing,neutral,3,"Topic 3: product, protection, box, face, sun, like, sunscreen, used, skin, seal"
Sun Protection,Packing,neutral,4,"Topic 4: protection, product, sun, face, like, little, white, use, sunscreen, one"
Sun Protection,Packing,neutral,5,"Topic 5: protection, sun, skin, product, sunscreen, use, like, used, white, well"
Sun Protection,Packing,negative,1,"Topic 1: product, protection, sunscreen, sun, face, skin, white, used, like, use"
Sun Protection,Packing,negative,2,"Topic 2: sun, protection, sunscreen, also, less, get, seal, little, like, eye"
Sun Protection,Packing,negative,3,"Topic 3: product, protection, sun, like, box, disappointed, seal, sunscreen, use, used"
Sun Protection,Packing,negative,4,"Topic 4: like, protection, product, box, skin, face, buy, return, spf, damaged"
Sun Protection,Packing,negative,5,"Topic 5: sun, protection, use, product, skin, works, spf, taste, time, one"
